codigo_ine,meta_ods,promedio_indice,n_indicadores,periodo_max,ods_objetivo
43012,4.a,99.31325301,1,2024,4
43012,5.1,100.0,1,2025,5
43012,5.5,100.0,1,2023,5
43012,5.c,93.32935155000001,2,2025,5
43012,6.4,91.09246575,1,2024,6
43012,7.1,90.72626123,1,2023,7
43012,7.3,68.2026087,1,2024,7
43012,8.2,65.084686515,2,2025,8
43012,8.3,59.043691307504,3,2025,8
43012,8.5,86.17108835666666,3,2025,8
43012,8.9,100.0,1,2024,8
43012,9.2,9.587443946,1,2025,9
43012,9.5,80.54826152,1,2025,9
43012,9.c,100.0,1,2024,9
43013,1.1,53.76712329,1,2023,1
43013,1.2,34.51194778666667,3,2023,1
43013,1.3,100.0,1,2024,1
43013,1.4,37.48062496,1,2024,1
43013,10.1,39.516503953333334,3,2023,10
43013,10.2,50.0,2,2025,10
43013,10.4,25.997150995,2,2023,10
43013,11.1,78.08932526,1,2025,11
43013,11.2,61.45687506,2,2023,11
43013,11.3,90.31262677000001,2,2024,11
43013,11.4,0.0,1,2025,11
43013,11.7,100.0,1,2024,11
43013,12.5,0.0,2,2024,12
43013,12.b,0.0,1,2025,12
43013,13.2,0.0,1,2022,13
43013,14.1,51.06643480333333,3,2025,14
43013,15.1,28.567657525,2,2024,15
43013,15.2,39.61834527,1,2024,15
43013,16.6,40.01447636,1,2024,16
43013,16.7,100.0,1,2023,16
43013,17.1,50.0,2,2025,17
43013,17.17,0.0,1,2024,17
43013,2.3,78.17519684999999,4,2025,2
43013,2.4,20.37878788,1,2024,2
43013,3.6,100.0,1,2023,3
43013,4.a,67.24578313,1,2024,4
43013,5.1,100.0,1,2025,5
43013,5.5,61.53333333,1,2023,5
43013,5.c,70.15545337,2,2025,5
43013,6.1,11.37326074,1,2025,6
43013,6.4,61.97856731,1,2024,6
43013,7.1,76.23778687,1,2023,7
43013,7.3,31.47565217,1,2024,7
43013,8.2,73.72416505,2,2025,8
43013,8.3,67.68892398333334,3,2025,8
43013,8.5,79.82391537666666,3,2025,8
43013,8.9,100.0,1,2024,8
43013,9.2,23.94170404,1,2025,9
43013,9.5,37.400149815,2,2025,9
43013,9.c,97.25630769,1,2024,9
43014,1.1,48.63013699,1,2023,1
43014,1.2,29.91050455,3,2023,1
43014,1.3,86.20488603,1,2024,1
43014,1.4,50.93775188,1,2024,1
43014,10.1,40.4986053,3,2023,10
43014,10.2,56.29305333666667,3,2025,10
43014,10.4,0.0,2,2023,10
43014,11.1,63.434652355,2,2025,11
43014,11.2,58.830301895,2,2023,11
43014,11.3,94.58138005500001,2,2024,11
43014,11.4,0.0,1,2025,11
43014,11.7,37.61853905,1,2024,11
43014,12.5,36.43360338,2,2024,12
43014,12.b,85.64705882,1,2025,12
43014,13.2,44.83333039,1,2022,13
43014,14.1,99.10276002,2,2025,14
43014,15.1,32.02556106,2,2024,15
43014,15.2,84.60694501,1,2024,15
43014,16.1,67.308364695,2,2025,16
43014,16.4,0.0,1,2025,16
43014,16.6,24.16421624,1,2024,16
43014,16.7,100.0,1,2023,16
43014,17.1,33.81230205,2,2025,17
43014,17.17,100.0,1,2024,17
43014,2.2,59.65625,1,2024,2
43014,2.3,62.655526195,4,2025,2
43014,2.4,7.5038216465,2,2024,2
43014,3.2,0.0,1,2024,3
43014,3.3,100.0,3,2024,3
43014,3.4,55.001343392857144,7,2024,3
43014,3.5,100.0,1,2024,3
43014,3.6,100.0,1,2023,3
43014,3.7,0.0,1,2024,3
43014,3.8,83.26707504999999,2,2024,3
43014,3.b,17.00351289,1,2024,3
43014,4.1,39.95884068,1,2023,4
43014,4.2,30.59177533,1,2023,4
43014,4.3,86.2349748,1,2023,4
43014,4.4,11.1180999581,2,2023,4
43014,4.5,95.52631579,1,2023,4
43014,4.a,66.45060241,1,2024,4
43014,5.1,100.0,1,2025,5
43014,5.5,100.0,1,2023,5
43014,5.c,62.577855455,2,2025,5
43014,6.1,85.11796733,1,2025,6
43014,6.4,91.21346945,1,2024,6
43014,7.1,73.2039893,1,2023,7
43014,7.3,87.34913043,1,2024,7
43014,8.2,83.35028123000001,2,2025,8
43014,8.3,53.96527615666667,3,2025,8
43014,8.5,70.62516945333333,3,2025,8
43014,8.9,42.32076282,1,2024,8
43014,9.2,100.0,1,2025,9
43014,9.5,51.9349919745,2,2025,9
43014,9.c,100.0,1,2024,9
43015,1.2,66.66666667,1,2023,1
43015,1.5,100.0,1,2024,1
43015,10.1,22.135053463333335,3,2023,10
43015,10.2,64.45650301,1,2025,10
43015,11.2,51.617584433,2,2023,11
43015,11.3,95.333644425,2,2024,11
43015,11.4,100.0,1,2025,11
43015,11.7,3.715456332,1,2024,11
43015,12.5,50.0,2,2024,12
43015,12.b,8.705882353,1,2025,12
43015,13.2,29.45871926,1,2022,13
43015,15.1,96.8654054,2,2024,15
43015,15.2,100.0,1,2024,15
43015,16.6,0.0,1,2024,16
43015,16.7,100.0,1,2023,16
43015,17.1,50.0,2,2025,17
43015,17.17,0.0,1,2024,17
43015,2.3,40.783088877750004,4,2025,2
43015,2.4,100.0,2,2024,2
43015,3.6,100.0,1,2023,3
43015,5.1,100.0,1,2025,5
43015,5.5,100.0,1,2023,5
43015,5.c,98.46982758499999,2,2025,5
43015,6.4,100.0,1,2024,6
43015,7.1,76.90942961,1,2023,7
43015,7.3,91.46347826,1,2024,7
43015,8.2,56.58,1,2025,8
43015,8.3,85.87965741333333,3,2025,8
43015,8.5,59.05797956666667,3,2025,8
43015,8.9,100.0,1,2024,8
43015,9.2,9.001121076,1,2025,9
43015,9.5,0.0,1,2025,9
43016,1.1,60.18835616,1,2023,1
43016,1.2,35.88251189333334,3,2023,1
43016,1.3,60.89388406,1,2024,1
43016,1.4,32.74691549,1,2024,1
43016,10.1,45.92631334,3,2023,10
43016,10.2,65.29026701000001,2,2025,10
43016,10.4,37.535612535,2,2023,10
43016,11.1,76.79454382,1,2025,11
43016,11.2,62.64768359,2,2023,11
43016,11.3,88.769376365,2,2024,11
43016,11.4,6.4801946,1,2025,11
43016,11.7,83.14432442,1,2024,11
43016,12.5,70.40903829,2,2024,12
43016,12.b,96.11764706,1,2025,12
43016,13.2,0.0,1,2022,13
43016,15.1,9.8950940567,2,2024,15
43016,15.2,38.98157019,1,2024,15
