indicador,clase,nombre,detalle,fuente,fuente_link,actualizacion,corte_muestra,unidad,tipo,formula,umbral_optimo,umbral_malo,ods,meta,aue1,aue2,muestra_ods,muestra_aue,le,le2
D-28-b,Descriptivo AUE,Porcentaje de parados entre 25 y 44 años,,,,,,%,QT,,,,,,6;7,6;7,,D-28-b,,
D-28-c,Descriptivo AUE,Proporción de paro femenino,,,,,,%,QT,,,,,,6;7,6;7,,D-28-c,,
D-29,Descriptivo AUE,Número de viviendas por cada 1.000 habitantes,,,,,,x 1.000,QT,,,,,,2;8,2;8,,D-29,,
D-32,Descriptivo AUE,Variación del número de hogares en los últimos diez años,,,,,,%,QT,,,,,,1;2;8,1;2;8,,D-32,,
D-33,Descriptivo AUE,Crecimiento del parque de vivienda los últimos diez años,,,,,,%,QT,,,,,,1;2;4;8,1;2;4;8,,D-33,,
D-34-a,Descriptivo AUE,Porcentaje de vivienda secundaria,,,,,,%,QT,,,,,,2;8,2;8,,D-34-a,,
D-35,Descriptivo AUE,Porcentaje de vivienda vacía,,,,,,%,QT,,,,,,2;8,2;8,,D-35,,
D-ST-6,Descriptivo AUE,Porcentaje de viviendas previstas en áreas de desarrollo respecto al parque de vivienda existente,,,,,,%,QT,,,,,,1;2;4;8,1;2;4;8,,D-ST-6,,
D-ST-7,Descriptivo AUE,Número de viviendas previstas en las áreas de desarrollo por cada 1.000 habitantes,,,,,,x 1.000,QT,,,,,,1;2;4;8,1;2;4;8,,D-ST-7,,
D-37,Descriptivo AUE,FIGURA DE PLANEAMIENTO URBANÍSTICO VIGENTE EN EL MUNICIPIO,,,,,,,QL,,,,,,1;2;8;10,1;2;8;10,,D-37,,
D-38,Descriptivo AUE,FECHA DE LA FIGURA DE PLANEAMIENTO URBANÍSTICO VIGENTE EN EL MUNICIPIO,,,,,,,QL,,,,,,1;2;8;10,1;2;8;10,,D-38,,
D-30-a,Descriptivo AUE,Número de edificios con una vivienda,,,,,,%,QT,,,,,,2;8,2;8,,D-30-a,,
D-30-b,Descriptivo AUE,Número de edificios con 2 o más viviendas,,,,,,%,QT,,,,,,2;8,2;8,,D-30-b,,
D-34-b,Descriptivo AUE,Porcentaje de vivienda turística,,,,,,%,QT,,,,,,2;8,2;8,,D-34-b,,
D-36,Descriptivo AUE,Accesibilidad a la vivienda,Precio medio de la viviendas respecto de la renta media familiar,,,,,%,QT,,,,,,8,8,,D-36,,
