codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43097,4,74.0375957575,12,2025
43097,5,73.44369830000001,7,2025
43097,6,50.0,2,2024
43098,1,49.269036615000005,8,2025
43098,2,80.04995325875001,8,2025
43098,3,70.19880537,9,2025
43098,4,82.314971215,12,2025
43098,5,64.84266620857143,7,2025
43098,6,49.041384615,2,2024
43099,1,31.777881475,6,2025
43099,2,70.25517020166667,6,2025
43099,3,68.90187984333335,9,2025
43099,4,65.75287508545455,11,2025
43099,5,55.76835218714286,7,2025
43099,6,0.0,1,2024
43100,1,27.771742296750002,12,2026
43100,2,89.22165976625,8,2025
43100,3,55.583785722799995,10,2025
43100,4,77.86671078333333,12,2025
43100,5,64.71702323777778,9,2025
43100,6,60.29608686,2,2024
43101,1,42.86127116442857,7,2025
43101,2,75.52470214166667,6,2025
43101,3,83.389980239,9,2025
43101,4,76.0715177375,12,2025
43101,5,45.49798217428572,7,2025
43101,6,50.0,2,2024
43102,1,39.21760655625,8,2025
43102,2,75.53823737875,8,2025
43102,3,72.92427979888889,9,2025
43102,4,72.11072303,12,2025
43102,5,55.79514446857143,7,2025
43102,6,50.0,2,2024
43103,1,24.775042490333334,12,2026
43103,2,78.70350853375,8,2025
43103,3,59.43710303,10,2025
43103,4,64.204121175,12,2025
43103,5,31.28151825888889,9,2025
43103,6,91.071703235,2,2024
43104,1,39.571423074444446,9,2025
43104,2,77.1316287625,8,2025
43104,3,67.01446347,9,2025
43104,4,60.631635163846155,13,2025
43104,5,53.316683555714285,7,2025
43104,6,42.96856303,2,2024
43105,1,58.351317371666674,6,2025
43105,2,84.95225320833333,6,2025
43105,3,76.69308583,8,2025
43105,4,78.45013923545456,11,2025
43105,5,71.507923525,6,2025
43105,6,29.72030769,2,2024
43106,1,47.10359927,8,2025
43106,2,77.82512085875,8,2025
43106,3,70.88828240000001,9,2025
43106,4,80.0551234275,12,2025
43106,5,69.4976832243643,7,2025
43106,6,50.0,2,2024
43107,1,40.3384199525,8,2025
43107,2,82.25314713925,8,2025
43107,3,71.60033175555556,9,2025
43107,4,75.52971216916667,12,2025
43107,5,63.18189068057143,7,2025
43107,6,50.0,2,2024
43108,1,27.950577357111108,9,2025
43108,2,70.923377405,8,2025
43108,3,56.999700372111114,9,2025
43108,4,61.484118797307694,13,2025
43108,5,37.15671566428572,7,2025
43108,6,49.472907175,2,2024
43109,1,18.822742813583336,12,2026
43109,2,81.61476842249999,8,2025
43109,3,50.226223021600006,10,2025
43109,4,58.96937604908334,12,2025
43109,5,33.99317925455556,9,2025
43109,6,100.0,2,2024
43110,1,47.293084345,8,2025
43110,2,53.35189782016667,6,2025
43110,3,68.90358440455556,9,2025
43110,4,68.09306910091667,12,2025
43110,5,47.42409301285714,7,2025
43110,6,50.0,2,2024
43111,1,36.4263942966125,8,2025
43111,2,70.40481727375,8,2025
43111,3,55.98733798977778,9,2025
43111,4,69.85145565166667,12,2025
43111,5,61.325077318571424,7,2025
43111,6,72.93836236,2,2024
43112,1,48.718938262375005,8,2025
43112,2,84.26604437166667,6,2025
43112,3,80.14264808222222,9,2025
43112,4,79.44537336991667,12,2025
43112,5,65.68518286414286,7,2025
43112,6,48.46153846,2,2024
43113,1,59.36520719875,8,2025
43113,2,69.7131878275,8,2025
43113,3,72.50161341124999,8,2025
43113,4,81.45631276249999,12,2025
43113,5,74.55271702857144,7,2025
43113,6,64.82753152,2,2024
43114,1,50.45347022,8,2025
43114,2,84.48919512666667,6,2025
43114,3,78.95231473777778,9,2025
43114,4,79.1573709725,12,2025
43114,5,66.65698188142856,7,2025
43114,6,33.60776923,2,2024
43115,1,36.69652960857143,7,2025
43115,2,75.490926485,6,2025
43115,3,78.09363409625,8,2025
43115,4,78.81120247,12,2025
43115,5,56.574014258714286,7,2025
43115,6,42.97246154,2,2024
43116,1,40.7490566475,8,2025
43116,2,75.96090244375,8,2025
43116,3,82.12013780444444,9,2025
43116,4,69.07476745583334,12,2025
43116,5,46.58995076714286,7,2025
43116,6,75.607781045,2,2024
43117,1,63.41609577571428,7,2025
