codigo_ine,ods_objetivo,promedio_metas,n_metas
43041,9,7.73089607,2
43042,1,70.3661583034,5
43042,10,80.69834404222222,3
43042,11,57.902588036,5
43042,12,98.125,2
43042,13,99.49360245,1
43042,15,10.54137017,2
43042,16,60.389617735,2
43042,17,30.75223601,2
43042,2,28.978902590249998,2
43042,3,100.0,1
43042,4,68.73704360629999,5
43042,5,91.41073392333334,3
43042,6,100.0,1
43042,7,98.23049313,2
43042,8,67.65357386875,4
43042,9,54.284720990000004,3
43043,1,64.81908203826666,5
43043,10,82.97285380111111,3
43043,11,55.699345307,5
43043,12,64.804905105,2
43043,13,57.98888053,1
43043,15,25.11376263625,2
43043,16,74.618977605,2
43043,17,32.104806445,2
43043,2,12.637170427083333,3
43043,3,67.84884798875001,4
43043,4,0.0,1
43043,5,81.64005708333333,3
43043,6,91.05733493,1
43043,7,83.97621323,2
43043,8,64.60279157708334,4
43043,9,41.306152276666666,3
43044,1,49.434630239166665,4
43044,10,47.74366456944444,3
43044,11,65.860601912,5
43044,12,88.0656926675,2
43044,13,80.6997476,1
43044,15,87.2395150175,2
43044,16,65.73738973,2
43044,17,21.811399365,2
43044,2,21.90463054375,2
43044,3,100.0,1
43044,4,99.75,1
43044,5,80.41666666666667,3
43044,6,100.0,2
43044,7,66.34147002,2
43044,8,44.69427530916667,4
43044,9,85.72445157833333,3
43045,1,100.0,1
43045,10,37.22502311333333,2
43045,11,77.6782436225,4
43045,12,87.3,2
43045,13,42.8279539,1
43045,15,98.9828325025,2
43045,16,50.0,2
43045,17,25.0,2
43045,2,26.1489835245,2
43045,3,100.0,1
43045,5,85.51876514166668,3
43045,6,100.0,1
43045,7,76.98216473,2
43045,8,73.35408004416666,4
43045,9,68.30019753333333,3
43046,1,50.0,2
43046,10,42.639945665,2
43046,11,62.0972913402,5
43046,12,79.1067515675,2
43046,13,0.0,1
43046,15,66.919241515,2
43046,16,50.0,2
43046,17,50.0,2
43046,2,30.6452684675,2
43046,3,100.0,1
43046,5,82.86721347166667,3
43046,6,100.0,1
43046,7,68.027391485,2
43046,8,77.71825069416667,4
43046,9,66.66666666666667,3
43047,1,23.712609434666668,5
43047,10,25.55156314777778,3
43047,11,43.244488263200004,5
43047,12,50.450441489999996,2
43047,13,75.92827459,1
43047,15,0.0009129677605,2
43047,16,65.716353765,2
43047,17,17.50486399,2
43047,2,28.34282646191667,3
43047,3,79.61336022124999,4
43047,4,54.46773176977,5
43047,5,65.06570881166667,3
43047,6,54.579867144999994,2
43047,7,39.202766055,2
43047,8,57.66020867108333,4
43047,9,85.30390583166667,3
43048,1,52.29414315125,4
43048,10,43.05516685944445,3
43048,11,63.9052612918,5
43048,12,92.425,2
43048,13,0.0,1
43048,15,65.1640197775,2
43048,16,50.0,2
43048,17,29.6453389375,2
43048,2,24.400299390125,2
43048,3,100.0,1
43048,4,40.27274736627,5
43048,5,85.48567010166666,3
43048,6,100.0,1
43048,7,77.93717565,2
43048,8,62.064177085,4
43048,9,42.435277946666666,3
43049,1,50.4100028,3
43049,10,62.44972530944445,3
43049,11,67.562886315,5
43049,12,55.528195485,2
43049,13,0.0,1
43049,15,88.39261263750001,2
43049,16,73.06028048,2
43049,17,24.384409480000002,2
43049,2,37.245823720000004,2
43049,3,100.0,1
43049,4,52.53603014509,5
43049,5,90.68434851666666,3
43049,6,100.0,1
43049,7,75.2595154,2
43049,8,89.25940147916667,4
43049,9,50.62300490333333,3
43050,1,67.76981526333333,4
43050,10,53.21907017499999,3
43050,11,27.816996763040002,5
43050,12,35.875,2
43050,13,70.40633852,1
43050,14,50.032764294,1
43050,15,30.0210295453558,2
43050,16,89.586858175,2
43050,17,16.157559408966666,3
43050,2,20.79449435,3
43050,3,50.276302994249995,4
43050,4,66.18143746936,5
43050,5,86.88893894499999,3
43050,6,70.80349224,1
43050,7,71.20873799,2
43050,8,86.65860908333333,4
43050,9,54.19732867,3
43051,1,52.3532859325,4
43051,10,48.186115476666664,3
43051,11,28.28157263,5
43051,12,67.75,2
43051,13,42.2758852,1
43051,14,66.66666666666667,1
43051,15,11.8320078125,2
43051,16,91.37808188,2
43051,17,45.491109657500004,2
43051,2,0.24776551,2
43051,3,87.45658938000001,6
43051,4,65.1559356706,5
43051,5,84.0382782,3
43051,6,47.39337494,2
43051,7,78.7007613,2
43051,8,71.81611537333333,4
43051,9,58.46739998133334,3
43052,1,31.162637748999998,5
43052,10,37.66391283555556,3
43052,11,53.752616536999994,5
43052,12,66.578703555,2
43052,13,0.0,1
43052,15,56.949919068750006,2
43052,16,50.0,2
43052,17,31.13795009,2
43052,2,48.548393121249994,2
43052,3,100.0,1
43052,4,71.49435188301,5
43052,5,76.514240535,3
43052,6,100.0,1
43052,7,70.848960865,2
43052,8,66.45200324416666,4
43052,9,62.84365478466666,3
43053,1,65.56061973,2
43053,10,38.72617387333333,2
43053,11,67.536327008,5
43053,12,86.7703948025,2
43053,13,69.61387139,1
43053,15,67.95267533,2
43053,16,52.0308753675,2
43053,17,34.814643125,2
43053,2,37.555845825000006,2
43053,3,100.0,1
43053,4,100.0,1
43053,5,64.80603448333333,3
43053,6,100.0,1
43053,7,75.73900917,2
43053,8,83.08814699625,4
43053,9,66.91079931966667,3
43054,1,64.34459948366667,5
43054,10,73.00260144966667,3
43054,11,51.66321288819999,5
43054,12,90.26101695,2
43054,13,0.0,1
43054,15,53.5044579,2
43054,16,50.0,2
43054,17,24.27281977,2
43054,2,23.560425365,2
43054,3,100.0,1
43054,4,60.714,1
43054,5,79.37463346,3
43054,6,100.0,1
43054,7,73.96150578000001,2
43054,8,67.04931793916667,4
43054,9,100.0,3
43055,1,55.96729203933334,5
43055,10,65.2003777081111,3
43055,11,59.61627279740001,5
43055,12,90.444773165,2
43055,13,32.05224674,1
43055,15,71.3497619725,2
43055,16,51.510291789,2
43055,17,12.723199440000002,2
43055,2,45.7360756415,2
43055,3,100.0,1
43055,4,63.00691499644999,5
43055,5,75.58033159333333,3
43055,6,50.2976190476,2
43055,7,80.132075195,2
43055,8,64.64589351833334,4
43055,9,82.04307333,3
43056,1,76.2114826425,2
